order_id,sku,quantity,unit_price,currency,placed_at
ORD-104200,ADPT-ETH,7,39.09,GBP,2026-07-27 00:03:30
ORD-104201,CAM-4K,4,98.63,USD,2026-07-27 00:07:14
ORD-104202,MON-ARM-D,4,252.17,CAD,2026-07-27 00:10:34
ORD-104203,DOCK-PRO,3,398.34,USD,2026-07-27 00:14:00
ORD-104204,ENCL-NVME,6,318.36,SEK,2026-07-27 00:15:56
ORD-104205,TRAY-CBL,1,77.63,CZK,2026-07-27 00:17:28
ORD-104206,CHRG-65W,6,80.05,USD,2026-07-27 00:21:40
ORD-104207,CABLE-5M,8,401.95,USD,2026-07-27 00:25:43
ORD-104208,MOUSE-ERGO,4,215.77,AUD,2026-07-27 00:29:14
ORD-104209,ADPT-ETH,8,36.23,USD,2026-07-27 00:33:14
ORD-104210,PAD-XL,8,307.09,USD,2026-07-27 00:35:52
ORD-104211,STAND-ALU,4,102.29,GBP,2026-07-27 00:38:25
ORD-104212,MON-ARM-D,7,360.02,GBP,2026-07-27 00:42:37
ORD-104213,CAM-1080,2,59.62,AUD,2026-07-27 00:46:11
ORD-104214,MIC-USB,6,447.29,CAD,2026-07-27 00:50:22
ORD-104215,CAM-1080,5,168.58,USD,2026-07-27 00:51:45
ORD-104216,HDST-ANC,3,158.16,CAD,2026-07-27 00:54:56
ORD-104217,CABLE-5M,8,314.28,GBP,2026-07-27 00:59:32
ORD-104218,HDST-ANC,7,351.57,CZK,2026-07-27 01:01:16
ORD-104219,CHRG-65W,8,38.94,AUD,2026-07-27 01:02:57
ORD-104220,CAM-1080,2,198.38,USD,2026-07-27 01:06:38
ORD-104221,SSD-1TB,1,438.62,SEK,2026-07-27 01:08:29
ORD-104222,SSD-2TB,5,91.09,JPY,2026-07-27 01:10:29
ORD-104223,CABLE-2M,7,344.98,GBP,2026-07-27 01:12:35
ORD-104224,CABLE-2M,6,389.17,USD,2026-07-27 01:13:29
ORD-104225,CHRG-65W,7,208.78,GBP,2026-07-27 01:17:20
ORD-104226,MIC-USB,5,414.52,USD,2026-07-27 01:18:06
ORD-104227,STAND-ALU,6,215.92,USD,2026-07-27 01:19:20
ORD-104228,HUB-USB4,7,189.73,CHF,2026-07-27 01:21:06
ORD-104229,HUB-USB4,5,130.14,GBP,2026-07-27 01:25:11
ORD-104230,MIC-USB,1,243.03,JPY,2026-07-27 01:28:44
ORD-104231,PAD-XL,7,421.07,AUD,2026-07-27 01:32:14
ORD-104232,SSD-1TB,4,232.08,SEK,2026-07-27 01:34:53
ORD-104233,MOUSE-ERGO,4,368.36,USD,2026-07-27 01:36:12
ORD-104234,MOUSE-ERGO,6,25.80,GBP,2026-07-27 01:39:52
ORD-104235,PAD-XL,4,86.21,AUD,2026-07-27 01:42:38
ORD-104236,BATT-20K,8,141.43,CZK,2026-07-27 01:43:55
ORD-104237,MON-ARM-D,5,310.01,AUD,2026-07-27 01:46:58
ORD-104238,ADPT-ETH,1,6.72,CHF,2026-07-27 01:49:04
ORD-104239,HDST-ANC,6,47.02,NOK,2026-07-27 01:49:51
ORD-104240,MIC-USB,6,264.28,GBP,2026-07-27 01:51:20
ORD-104241,HUB-USB4,4,414.93,AUD,2026-07-27 01:52:56
ORD-104242,CABLE-2M,3,368.76,GBP,2026-07-27 01:56:18
ORD-104243,HUB-USB4,3,392.68,CZK,2026-07-27 01:57:16
ORD-104244,KEYB-TKL,1,99.62,USD,2026-07-27 02:00:43
ORD-104245,BATT-20K,5,201.99,USD,2026-07-27 02:05:11
ORD-104246,CABLE-5M,6,184.00,GBP,2026-07-27 02:07:47
ORD-104247,HDST-ANC,6,410.50,USD,2026-07-27 02:10:52
ORD-104248,ADPT-ETH,6,307.82,USD,2026-07-27 02:13:34
ORD-104249,CAM-1080,4,393.20,USD,2026-07-27 02:17:29
ORD-104250,KEYB-TKL,8,253.49,GBP,2026-07-27 02:21:22
