currency,valid_from,rate
USD,2025-01-06,0.923214
GBP,2025-01-06,1.172611
JPY,2025-01-06,0.006145
CHF,2025-01-06,1.045183
SEK,2025-01-06,0.087769
NOK,2025-01-06,0.085943
PLN,2025-01-06,0.234284
CZK,2025-01-06,0.040448
AUD,2025-01-06,0.610370
CAD,2025-01-06,0.682753
USD,2025-01-07,0.922938
GBP,2025-01-07,1.173208
JPY,2025-01-07,0.006154
CHF,2025-01-07,1.044042
SEK,2025-01-07,0.087887
NOK,2025-01-07,0.086050
PLN,2025-01-07,0.234713
CZK,2025-01-07,0.040334
AUD,2025-01-07,0.610892
CAD,2025-01-07,0.684898
USD,2025-01-08,0.922799
GBP,2025-01-08,1.175641
JPY,2025-01-08,0.006155
CHF,2025-01-08,1.046285
SEK,2025-01-08,0.088099
NOK,2025-01-08,0.086009
PLN,2025-01-08,0.234299
CZK,2025-01-08,0.040354
AUD,2025-01-08,0.612532
CAD,2025-01-08,0.687215
USD,2025-01-09,0.925296
GBP,2025-01-09,1.176041
JPY,2025-01-09,0.006155
CHF,2025-01-09,1.048882
SEK,2025-01-09,0.088322
NOK,2025-01-09,0.085777
PLN,2025-01-09,0.234260
CZK,2025-01-09,0.040223
AUD,2025-01-09,0.614171
CAD,2025-01-09,0.689015
USD,2025-01-10,0.923138
GBP,2025-01-10,1.175746
JPY,2025-01-10,0.006145
CHF,2025-01-10,1.046439
SEK,2025-01-10,0.088414
NOK,2025-01-10,0.085803
PLN,2025-01-10,0.234034
CZK,2025-01-10,0.040306
AUD,2025-01-10,0.613710
CAD,2025-01-10,0.689519
USD,2025-01-11,0.925913
GBP,2025-01-11,1.177273
JPY,2025-01-11,0.006153
CHF,2025-01-11,1.047105
SEK,2025-01-11,0.088433
NOK,2025-01-11,0.085834
PLN,2025-01-11,0.234607
CZK,2025-01-11,0.040386
AUD,2025-01-11,0.615360
CAD,2025-01-11,0.688605
USD,2025-01-12,0.925308
GBP,2025-01-12,1.179281
JPY,2025-01-12,0.006155
CHF,2025-01-12,1.044634
SEK,2025-01-12,0.088228
NOK,2025-01-12,0.086118
PLN,2025-01-12,0.233971
CZK,2025-01-12,0.040387
AUD,2025-01-12,0.613555
CAD,2025-01-12,0.688848
USD,2025-01-13,0.925878
GBP,2025-01-13,1.179099
JPY,2025-01-13,0.006160
CHF,2025-01-13,1.042897
SEK,2025-01-13,0.088109
NOK,2025-01-13,0.086209
PLN,2025-01-13,0.234228
CZK,2025-01-13,0.040393
AUD,2025-01-13,0.612480
CAD,2025-01-13,0.686715
USD,2025-01-14,0.923785
GBP,2025-01-14,1.179254
JPY,2025-01-14,0.006158
