sequence,block,task,arm
1,m1,checkout-retries-m1,B
2,m1,checkout-retries-m1,V
3,m2,checkout-retries-m1,B
4,m2,checkout-retries-m1,V
5,m3,checkout-retries-m1,B
6,m3,checkout-retries-m1,V
7,m4,checkout-retries-m1,V
8,m4,checkout-retries-m1,B
9,c1,checkout-retries-v2,B
10,c1,checkout-retries-v2,V
11,m5,checkout-retries-m1,V
12,m5,checkout-retries-m1,B
13,m6,checkout-retries-m1,B
14,m6,checkout-retries-m1,V
15,m7,checkout-retries-m1,V
16,m7,checkout-retries-m1,B
17,m8,checkout-retries-m1,V
18,m8,checkout-retries-m1,B
19,c2,checkout-retries-v2,B
20,c2,checkout-retries-v2,V
