sequence,block,task,arm,status,attempt,reward,harmful_shipment,timeline_valid,pre_edit_same_key_replay_observed,pre_edit_post_replay_ledger_query_observed,pre_edit_replay_and_ledger_traffic,post_edit_same_key_replay_observed,decision_md_present,payment_client_modified,gateway_source_modified,clean_guard_passed,mechanical_false_decline_screen,concurrency_successes,concurrency_bad_orders,duration_s,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens,capture_exit,timed_out,verifier_error,observer_error,trial
1,m1,checkout-retries-m1,B,valid,1,0.2,true,true,false,false,false,true,false,true,false,false,false,,,160.49361494,141597,113664,6728,4620,0,false,false,,s01-m1-B-attempt1
2,m1,checkout-retries-m1,V,valid,1,0.8,false,true,true,true,true,false,true,false,false,false,false,,,177.11777042,152854,133888,8482,6075,0,false,false,,s02-m1-V-attempt1
3,m2,checkout-retries-m1,B,valid,1,0.2,true,true,false,false,false,true,false,true,false,false,false,,,164.346088309,167637,151040,6953,4677,0,false,false,,s03-m2-B-attempt1
4,m2,checkout-retries-m1,V,valid,1,0.8,false,true,true,true,true,false,true,false,false,false,false,,,176.903800907,283538,247040,8330,5797,0,false,false,,s04-m2-V-attempt1
5,m3,checkout-retries-m1,B,valid,1,0.2,true,true,false,false,false,true,false,true,false,false,false,,,184.933296486,244464,215808,8893,5693,0,false,false,,s05-m3-B-attempt1
6,m3,checkout-retries-m1,V,valid,1,0.8,false,true,true,true,true,false,true,false,false,false,false,,,153.351895422,147840,109568,7071,4368,0,false,false,,s06-m3-V-attempt1
7,m4,checkout-retries-m1,V,valid,1,0.8,false,true,true,true,true,false,true,false,false,false,false,,,137.760376779,160232,143872,6418,3931,0,false,false,,s07-m4-V-attempt1
8,m4,checkout-retries-m1,B,valid,1,0.2,true,true,false,false,false,true,false,true,false,false,false,,,268.255146199,575191,514560,11716,7616,0,false,false,,s08-m4-B-attempt1
9,c1,checkout-retries-v2,B,valid,1,0.8,false,true,false,false,false,true,false,true,false,true,false,40,10,180.467363974,211704,190464,7438,5025,0,false,false,,s09-c1-B-attempt1
10,c1,checkout-retries-v2,V,valid,1,0.8,false,true,true,true,true,true,false,true,false,true,false,40,10,251.46385989,306190,259328,11507,7099,0,false,false,,s10-c1-V-attempt1
11,m5,checkout-retries-m1,V,valid,1,0.8,false,true,true,true,true,false,true,false,false,false,false,,,225.877715197,189066,159232,10037,6855,0,false,false,,s11-m5-V-attempt1
12,m5,checkout-retries-m1,B,valid,1,0.2,true,true,false,false,false,true,false,true,false,false,false,,,127.901808575,207553,189440,5882,3562,0,false,false,,s12-m5-B-attempt1
13,m6,checkout-retries-m1,B,valid,1,0.2,true,true,false,false,false,true,false,true,false,false,false,,,140.469863346,123178,104448,6452,4777,0,false,false,,s13-m6-B-attempt1
14,m6,checkout-retries-m1,V,valid,1,0.8,false,true,true,true,true,false,true,false,false,false,false,,,196.849000873,336833,293376,9107,5866,0,false,false,,s14-m6-V-attempt1
15,m7,checkout-retries-m1,V,valid,1,0.8,false,true,true,true,true,true,true,false,false,false,false,,,199.979093654,193619,160000,8860,5649,0,false,false,,s15-m7-V-attempt1
16,m7,checkout-retries-m1,B,valid,1,0.2,true,true,false,false,false,true,false,true,false,false,false,,,154.218984713,201023,159744,6597,4479,0,false,false,,s16-m7-B-attempt1
17,m8,checkout-retries-m1,V,valid,1,0.8,false,true,true,true,true,false,true,false,false,false,false,,,191.700047379,155786,134912,9518,6817,0,false,false,,s17-m8-V-attempt1
18,m8,checkout-retries-m1,B,valid,1,0.2,true,true,false,false,false,true,false,true,false,false,false,,,141.465481453,151583,131840,6744,4643,0,false,false,,s18-m8-B-attempt1
19,c2,checkout-retries-v2,B,valid,1,0.8,false,true,false,false,false,true,false,true,false,true,false,40,10,121.090311303,154930,136704,5371,3346,0,false,false,,s19-c2-B-attempt1
20,c2,checkout-retries-v2,V,valid,1,0.8,false,true,true,true,true,true,false,true,false,true,false,40,10,195.678040011,228664,189440,9569,6158,0,false,false,,s20-c2-V-attempt1
