sequence,block,task,condition,V,D
1,m1,m1,V0D1,V0,D1
2,m1,m1,V1D0,V1,D0
3,m1,m1,V0D0,V0,D0
4,m1,m1,V1D1,V1,D1
5,m2,m1,V1D0,V1,D0
6,m2,m1,V0D0,V0,D0
7,m2,m1,V1D1,V1,D1
8,m2,m1,V0D1,V0,D1
9,c1,v2,V0D1,V0,D1
10,c1,v2,V1D1,V1,D1
11,c1,v2,V0D0,V0,D0
12,c1,v2,V1D0,V1,D0
13,m3,m1,V1D0,V1,D0
14,m3,m1,V0D1,V0,D1
15,m3,m1,V0D0,V0,D0
16,m3,m1,V1D1,V1,D1
17,m4,m1,V1D1,V1,D1
18,m4,m1,V0D0,V0,D0
19,m4,m1,V1D0,V1,D0
20,m4,m1,V0D1,V0,D1
21,c2,v2,V1D1,V1,D1
22,c2,v2,V0D0,V0,D0
23,c2,v2,V0D1,V0,D1
24,c2,v2,V1D0,V1,D0
25,m5,m1,V1D1,V1,D1
26,m5,m1,V1D0,V1,D0
27,m5,m1,V0D0,V0,D0
28,m5,m1,V0D1,V0,D1
29,m6,m1,V0D0,V0,D0
30,m6,m1,V1D1,V1,D1
31,m6,m1,V1D0,V1,D0
32,m6,m1,V0D1,V0,D1
