sequence,block,subject,task,condition
1,1,35b,m1,forced
2,1,27b,m1,forced
3,1,35b,v2,forced
4,1,27b,m1,bare
5,1,35b,v2,bare
6,1,35b,m1,bare
7,1,27b,v2,forced
8,1,27b,v2,bare
9,2,35b,v2,bare
10,2,27b,m1,bare
11,2,35b,m1,bare
12,2,27b,v2,bare
13,2,35b,v2,forced
14,2,35b,m1,forced
15,2,27b,v2,forced
16,2,27b,m1,forced
17,3,35b,m1,bare
18,3,35b,m1,forced
19,3,27b,v2,forced
20,3,35b,v2,forced
21,3,35b,v2,bare
22,3,27b,m1,bare
23,3,27b,v2,bare
24,3,27b,m1,forced
25,4,27b,v2,bare
26,4,27b,m1,bare
27,4,35b,v2,forced
28,4,35b,m1,bare
29,4,35b,v2,bare
30,4,35b,m1,forced
31,4,27b,v2,forced
32,4,27b,m1,forced
33,5,27b,m1,bare
34,5,35b,m1,bare
35,5,27b,m1,forced
36,5,35b,m1,forced
37,6,27b,m1,bare
38,6,35b,m1,forced
39,6,27b,m1,forced
40,6,35b,m1,bare
41,7,27b,m1,forced
42,7,27b,m1,bare
43,7,35b,m1,bare
44,7,35b,m1,forced
45,8,35b,m1,forced
46,8,27b,m1,forced
47,8,27b,m1,bare
48,8,35b,m1,bare
